,Company,Sector,PE,3Y High,3Y Low,% Assets
0,The Ramco Cements,Construction,37.61,2.78,1.01,2.44
1,Grindwell Norton,Metals,39.12,2.31,0.00,2.31
2,Persistent Systems,Technology,12.81,2.51,0.00,2.25
3,Mahanagar Gas,Energy,16.10,2.48,0.00,2.22
4,KPR Mills,Textiles,13.32,3.99,0.90,2.20
5,BEML,Engineering,64.24,2.39,0.00,2.12
6,Future Retail,Services,30.72,2.67,0.00,2.01
7,Tube Investments Of India,Automobile,30.35,2.34,0.00,1.96
8,Sanofi India,Healthcare,32.28,2.24,0.00,1.87
9,Future Lifestyle Fashion,Services,47.45,2.29,0.00,1.78
10,AIA Engineering,Metals,32.83,1.96,0.00,1.72
11,Sharda Cropchem,Chemicals,17.90,1.82,0.00,1.71
12,DCB Bank,Financial,22.18,1.99,0.00,1.68
13,Carborundum Universal,Metals,28.80,2.56,0.00,1.68
14,Welspun India,Textiles,26.38,2.25,0.00,1.63
15,Maharashtra Seamless,Metals,12.91,2.08,0.00,1.60
16,Engineers India,Construction,20.81,1.88,0.00,1.59
17,Future Supply Chain Solutions Ltd.,Services,40.90,2.08,0.00,1.58
18,ISGEC Heavy Engineering,Engineering,25.45,1.57,0.00,1.57
19,Lakshmi Machine Works,Engineering,32.27,3.12,0.00,1.51
20,Abbott India,Healthcare,36.81,1.62,0.00,1.49
21,EIH,Services,80.23,1.88,0.00,1.49
22,CARE Ratings Limited,Financial,20.75,2.10,0.00,1.47
23,Finolex Industries,Chemicals,16.74,1.98,0.00,1.38
24,Sobha,Construction,17.39,2.60,0.00,1.33
